Cumparare,Vanzare,Curs BNM,Valuta,Date
22.20,22.78,22.4413,GBP,2025-11-15
3.80,3.92,3.8834,RON,2025-11-15
20.95,21.60,21.2694,CHF,2025-11-15
-,-,-,RUB,2025-11-15
-,-,-,UAH,2025-11-15
19.55,19.88,19.7508,EUR,2025-11-16
16.86,17.23,17.0295,USD,2025-11-16
22.20,22.78,22.4413,GBP,2025-11-16
3.80,3.92,3.8834,RON,2025-11-16
20.95,21.60,21.2694,CHF,2025-11-16
-,-,-,RUB,2025-11-16
-,-,-,UAH,2025-11-16
19.55,19.88,19.7508,EUR,2025-11-17
16.86,17.23,17.0295,USD,2025-11-17
22.20,22.78,22.4413,GBP,2025-11-17
3.80,3.92,3.8834,RON,2025-11-17
20.95,21.60,21.2694,CHF,2025-11-17
-,-,-,RUB,2025-11-17
-,-,-,UAH,2025-11-17
19.55,19.88,19.7508,EUR,2025-11-18
16.86,17.23,17.0295,USD,2025-11-18
22.20,22.78,22.4413,GBP,2025-11-18
3.80,3.92,3.8834,RON,2025-11-18
20.95,21.60,21.2694,CHF,2025-11-18
-,-,-,RUB,2025-11-18
-,-,-,UAH,2025-11-18
19.55,19.88,19.7508,EUR,2025-11-19
16.86,17.23,17.0295,USD,2025-11-19
22.20,22.78,22.4413,GBP,2025-11-19
3.80,3.92,3.8834,RON,2025-11-19
20.95,21.60,21.2694,CHF,2025-11-19
-,-,-,RUB,2025-11-19
-,-,-,UAH,2025-11-19
19.55,19.88,19.7508,EUR,2025-11-20
16.86,17.23,17.0295,USD,2025-11-20
22.20,22.78,22.4413,GBP,2025-11-20
3.80,3.92,3.8834,RON,2025-11-20
20.95,21.60,21.2694,CHF,2025-11-20
-,-,-,RUB,2025-11-20
-,-,-,UAH,2025-11-20
19.55,19.88,19.7508,EUR,2025-11-21
16.86,17.23,17.0295,USD,2025-11-21
22.20,22.78,22.4413,GBP,2025-11-21
3.80,3.92,3.8834,RON,2025-11-21
20.95,21.60,21.2694,CHF,2025-11-21
-,-,-,RUB,2025-11-21
-,-,-,UAH,2025-11-21
19.55,19.88,19.7508,EUR,2025-11-22
16.86,17.23,17.0295,USD,2025-11-22
22.20,22.78,22.4413,GBP,2025-11-22
3.80,3.92,3.8834,RON,2025-11-22
20.95,21.60,21.2694,CHF,2025-11-22
-,-,-,RUB,2025-11-22
-,-,-,UAH,2025-11-22
19.55,19.88,19.7508,EUR,2025-11-23
16.86,17.23,17.0295,USD,2025-11-23
22.20,22.78,22.4413,GBP,2025-11-23
3.80,3.92,3.8834,RON,2025-11-23
20.95,21.60,21.2694,CHF,2025-11-23
-,-,-,RUB,2025-11-23
-,-,-,UAH,2025-11-23
19.55,19.88,19.7508,EUR,2025-11-24
16.86,17.23,17.0295,USD,2025-11-24
22.20,22.78,22.4413,GBP,2025-11-24
3.80,3.92,3.8834,RON,2025-11-24
20.95,21.60,21.2694,CHF,2025-11-24
-,-,-,RUB,2025-11-24
-,-,-,UAH,2025-11-24
19.55,19.88,19.7508,EUR,2025-11-25
16.86,17.23,17.0295,USD,2025-11-25
22.20,22.78,22.4413,GBP,2025-11-25
3.80,3.92,3.8834,RON,2025-11-25
20.95,21.60,21.2694,CHF,2025-11-25
-,-,-,RUB,2025-11-25
-,-,-,UAH,2025-11-25
19.55,19.88,19.7508,EUR,2025-11-26
16.86,17.23,17.0295,USD,2025-11-26
22.20,22.78,22.4413,GBP,2025-11-26
3.80,3.92,3.8834,RON,2025-11-26
20.95,21.60,21.2694,CHF,2025-11-26
-,-,-,RUB,2025-11-26
-,-,-,UAH,2025-11-26
19.55,19.88,19.7508,EUR,2025-11-27
16.86,17.23,17.0295,USD,2025-11-27
22.20,22.78,22.4413,GBP,2025-11-27
3.80,3.92,3.8834,RON,2025-11-27
20.95,21.60,21.2694,CHF,2025-11-27
-,-,-,RUB,2025-11-27
-,-,-,UAH,2025-11-27
19.55,19.88,19.7508,EUR,2025-11-28
16.86,17.23,17.0295,USD,2025-11-28
22.20,22.78,22.4413,GBP,2025-11-28
3.80,3.92,3.8834,RON,2025-11-28
20.95,21.60,21.2694,CHF,2025-11-28
-,-,-,RUB,2025-11-28
-,-,-,UAH,2025-11-28
19.55,19.88,19.7508,EUR,2025-11-29
16.86,17.23,17.0295,USD,2025-11-29
22.20,22.78,22.4413,GBP,2025-11-29
3.80,3.92,3.8834,RON,2025-11-29
20.95,21.60,21.2694,CHF,2025-11-29
-,-,-,RUB,2025-11-29
-,-,-,UAH,2025-11-29
19.55,19.88,19.7508,EUR,2025-11-30
16.86,17.23,17.0295,USD,2025-11-30
22.20,22.78,22.4413,GBP,2025-11-30
3.80,3.92,3.8834,RON,2025-11-30
20.95,21.60,21.2694,CHF,2025-11-30
-,-,-,RUB,2025-11-30
-,-,-,UAH,2025-11-30
19.55,19.88,19.7508,EUR,2025-11-31
16.86,17.23,17.0295,USD,2025-11-31
22.20,22.78,22.4413,GBP,2025-11-31
3.80,3.92,3.8834,RON,2025-11-31
20.95,21.60,21.2694,CHF,2025-11-31
-,-,-,RUB,2025-11-31
-,-,-,UAH,2025-11-31
