Day,Temperature
Today,High: 51 °F
Tonight,Low: 40 °F
Sunday,High: 52 °F
Sunday Night,Low: 39 °F
Monday,High: 53 °F
Monday Night,Low: 48 °F
Tuesday,High: 56 °F
Tuesday Night,Low: 37 °F
Wednesday,High: 42 °F
