Day,Temperature
Today,High: 50 °F
Tonight,Low: 38 °F
Sunday,High: 49 °F
Sunday Night,Low: 42 °F
Monday,High: 51 °F
Monday Night,Low: 42 °F
Tuesday,High: 56 °F
Tuesday Night,Low: 53 °F
Wednesday,High: 59 °F
