Day,Temperature
Today,High: 71 °F
Tonight,Low: 51 °F
Sunday,High: 68 °F
Sunday Night,Low: 50 °F
Monday,High: 66 °F
Monday Night,Low: 49 °F
Tuesday,High: 70 °F
Tuesday Night,Low: 51 °F
Wednesday,High: 73 °F
